,Headline,Category
0,प्रधानमन्त्रीले नै जातीय हिंसा फैलाए : एमाले नेता बस्नेत,politics
1,निजगढमा विमानस्थल बनाउन जोड,economy
2,"नेपालको दोस्रो विकेट क्षति, भीम सार्की आउट",sports
3,पर्यटन विकासमा ध्यान खै ?,economy
4,एसिया कप क्रिकेट : नेपाल र भारत दुवै दबाबमा,sports
5,एमाले महासचिव चीन भ्रमण छोट्याएर स्वदेश फिर्ता,politics
6,आइसीसी महिला टि-२० विश्वकप छनोट : कतारलाई हराउँदै नेपाल सेमिफाइनलमा,sports
7,संवैधानिक इजलासमार्फत् सदरमुकाम रुकुमकोट कायम,politics
8,सन्दीप लामिछानेको मुद्दामा अभिलेख झिकाउने आदेश,sports
9,"भित्रभित्रै बिआरआई परियोजना अघि बढाउने तयारी, तर प्रधानमन्त्रीले संसदलाई गराएनन् जानकारी",politics
10,"भारतले पायो नयाँ लक्ष्य, २३ ओभरमा १४५ रन बनाउनुपर्ने",sports
11,सितोरियो करातेमा दावा,sports
12,अमेरिका र चीनको भ्रमणमा जानुअघि राष्ट्रपतिसँग प्रधानमन्त्रीको भेट,politics
13,केही नेपाल ऐन संशोधन गर्न बनेको विधेयक समितिमा पठाइयो,politics
14,नेम्वाङको निधनमा शोक प्रस्ताव पारित गर्दै राष्ट्रियसभा बैठक स्थगित,politics
15,फाइनलमा पुग्न एसिया कपमा पाकिस्तान र श्रीलंका भीड्दै,sports
16,केन्द्र सरकारविरुद्ध बागमतीले रिट दर्ता गर्ने,politics
17,म आफूलाई अब्बल राजनीतिज्ञ ठान्दिनँ तर इमानको साथ काम गर्छु : ओली,politics
18,१ लाख १३ हजार पुग्यो सुनको मूल्य,economy
19,"नेपालको तेस्रो विकेट क्षति, कप्तान रोहित पौडेल आउट",sports
20,"मध्य भोटेकोशी जलविद्युत आयोजना अन्तिम चरणमा, प्रशारण लाइनमा जोड्न समस्या",economy
21,"नेपालको नवौं विकेट क्षति, सोमपाल र सन्दीप आउट",sports
22,नेपाल-भारतको खेल हेर्न २ बजेपश्चात जनकपुरका विद्यालयमा बिदा,sports
23,"साल्ट ट्रेडिङको ६ दशक, व्यवसायमा फड्को",economy
24,विश्वकप एसिया क्षेत्र छनोटमा नेपालको लगातार तेस्रो जित,sports
25,"सामान्य अंकले बढ्यो सेयर बजार ,कारोबार रकम १ अर्बमा झर्‍यो",economy
26,बाण्डु हाइड्रोपावरको सेयर बाँडफाँड,economy
27,विश्वकप एसिया छनोट : नेपाल र युएईबीचको खेल वर्षाको कारण रद्द,sports
28,"बालबालिका भविष्यका नेता, नीति निर्माता र आविष्कारक हुन् : पूर्वराष्ट्रपति भण्डारी",politics
29,उलटफेरबाट जोगिए जोकोभिच,sports
30,"उच्च अदालतको न्यायाधीशमा २७ जना सिफारिस, सूचीसहित",politics
31,थप ११ कम्पनीले पाए धितोपत्र कारोबार सदस्यता,economy
32,एकीकृत समाजवादीको केन्द्रीय सदस्यमा २१ जना मनोनीत (सूचीसहित),politics
33,होडिङ बोर्डमा नेपाली कलाकार,economy
34,संयुक्त राष्ट्रसंघको महासभामा भाग लिन प्रधानमन्त्री दाहाल अमेरिका प्रस्थान,politics
35,प्रधानमन्त्रीले बीआरआई परियोजना अघि बढाउने विषयमा चीनसँग कुरा राख्नुपर्छ : एमाले नेता पन्त,politics
36,"सेयर बजारमा उचारचढाव, नेप्से ३९ अंकले बढ्दा करिब डेढ अर्बको कारोबार",economy
37,मेसीबिनै अर्जेन्टिनाको प्रभावशाली जित,sports
38,लालबन्दीबाट एक महिनामा १४ करोडको तरकारी निकासी,economy
39,"आईपीओमा १० कित्ते नीति फेरिँदै,मार्जिन ट्रेडिङको तयारी अन्तिम चरणमा",economy
40,"१० अंकले बढ्यो सेयर बजार, कारोबार रकम १ अर्बमा सीमित",economy
41,"केरा भण्डारका बगानमा फैलियो रोग, चाडपर्वमै घट्यो उत्पादन",economy
42,संसद्को रुलिङमा प्रधानमन्त्रीको जवाफ- शान्ति सुव्यवस्था मिलाउन सरकार प्रतिबद्ध छ,politics
43,"तत्कालै लाभांश हेर्ने, छैन प्रविधि",economy
44,डाक्टर कुटपिट गर्नेलाई ७२ घण्टाभित्र कारबाही नगरे आन्दोलन गर्ने चिकित्सक संघको चेतावनी,politics
45,संयुक्त राष्ट्रसंघीय महासभामा नेपालको शान्ति प्रक्रिया टुङ्गाउनका लागि अपिल गर्छु :  प्रचण्ड,politics
46,बालबालिकाको संरक्षण गर्नु सबैको कर्तव्य हो : राष्ट्रपति पौडेल,politics
47,नयाँ सम्झौता गरेर राजालाई स्पेश दिनुपर्छ : राजेन्द्र लिङदेन,politics
48,विषादी परीक्षणबिना भित्रिँदै तरकारी,economy
49,चिया उद्योगी र श्रमिकबीच सहमति : न्यूनतम पारिश्रमिक लागू,economy
50,नेम्वाङको निधनप्रति एमाले संसदीय दलको बैठकमा शोक प्रस्ताव पारित,politics
51,द्रुत बस चलाउन काठमाडौं उपत्यकाका सडकमा बनाउन थालियो डेडिकेटेड लेन,politics
52,संविधानसभा अध्यक्ष नेम्वाङको निधनमा प्रतिनिधिसभाबाट शोक प्रस्ताव पारित,politics
53,ओलीले भने : सुवास नेम्वाङ संविधान जारी गर्ने सफल राजनेता हुन्,politics
54,‘माइक्रो म्यानेजमेन्टले लगानीकर्ता हच्किए’,economy
55,भारतविरुद्धको खेलमा श्रीलंका पुगेका नेपाली समर्थकहरू (फोटो फिचर),sports
56,श्रीलंकामा खेल हेरेपछि बालेनले भने : सरकारले जग्गा उपलब्ध गराए रंगशाला महानगरले बनाउँछ,sports
57,संघीयता कार्यान्वयनका लागि प्रदेश सरकार अधिकार सम्पन्न हुनुपर्छ : मुख्यमन्त्री चौधरी,politics
58,विशालको राष्ट्रिय कीर्तिमान,sports
59,सुन तस्करीमा कसको भूमिका के थियो ?,economy
60,नेपालले भारतलाई थप १८० मेगावाट बिजुली बेच्ने,economy
61,हिन्दू राष्ट्रको माग राख्दै राप्रपा नेपाल विरोध प्रदर्शन,politics
62,नेपाली राष्ट्रिय फुटबल टोलीको बिदाई,sports
63,एसियाडमा सहभागी टोलीको प्रधानमन्त्रीद्वारा बिदाइ,sports
64,"वन्यजन्तुले किसान हैरान : पाकेको बाली वन्यजन्तुले खाइदिन्छन्, राहत पाउँदैनन् गरिब किसान",economy
65,रैथाने बाली बिउ बैंक,economy
66,नुवाकोटमा विकासको ठूलो सम्भावना छः अर्थमन्त्री डा. महत,economy
67,नेपालबाट दस हजार मेगावाट बिजुली किन्ने प्रस्ताव भारतको मन्त्रिपरिषद्‍बाट स्वीकृत,economy
68,बागमती प्रदेश सभाको बैठक स्थगित,politics
69,"जी-२० सम्मेलन : घोषणापत्रमा एकस्वरले सहमति, शान्ति र समृद्धिको प्रतिबद्धता",economy
70,दनदन बलेकी गौफ,sports
71,विदेशमा रहेका युवाको भविष्य नसोचिकन नेपालको परिवर्तन र रूपान्तरण हुँदैन : प्रचण्ड,politics
72,खेलाडीका लागि घोषणा गरिएको पुरस्कार रकम शुक्रबारको मन्त्रिपरिषद् बैठकले निकासा गर्ने,politics
73,"नेपाललाई पहिलो झट्का, कुशल भुर्तेल ३८ रन बनाएर आउट",sports
74,मधेसमा नघटुन् छोरी,politics
75,दाहालले चिनियाँ राष्ट्रपति सीलाई हाङचाओमा र प्रधानमन्त्रीलाई बेइजिङमा भेट्ने,politics
76,चन्दा मागेर भलिबल खेलाडीलाई पारिश्रमिक,sports
77,सहकारीपीडितलाई उजुरी गर्न अपील,economy
78,भारतले पाकिस्तानलाई दियो २६७ रनको लक्ष्य,sports
79,एसियन गेम्सका लागि नेपाली टिमको घोषणा,sports
80,"नेपाल थाइल्याण्डसँग पराजित, विश्वकप ग्लोबल छनोटमा पुग्ने सपना अधुरै",sports
81,मन्त्रिपरिषद् बैठक बस्दै,politics
82,केन्द्र सरकारविरुद्ध सर्वोच्चमा रिट दर्ता गर्ने बागमती मन्त्रिपरिषद्को निर्णय,politics
83,सिमरामा असोज दोस्रो साता अन्तर्राष्ट्रिय भेट्रान फुटबल प्रतियोगिता हुने,sports
84,गौहत्याको विरोधमा काठमाडौंमा राप्रपाको र्‍याली,politics
85,"ताप्लेजुङ गोल्डकप, पथरी अन्तिम चारमा",sports
86,चैतेधान उत्पादन बढाउने अभियान,economy
87,"नेपाल भारतसँग पराजित, एसिया कपको समूह चरणबाटै बाहिरियो",sports
88,एसियन शारीरिक सुगठन तथा फिजिक्स स्पोर्ट्स : रजनीलाई स्वर्ण,sports
89,नेपाली राष्ट्रिय क्रिकेट टोली स्वदेश फिर्ता,sports
90,नेपालले भारतलाई दियो २३१ रनको लक्ष्य,sports
91,नेपाल म्यानमारसँग पराजित,sports
92,भारतविरुद्ध आशिफ शेखको अर्धसतक प्रहार,sports
93,जोखिम मोलेर परिणाम दिन कर्मचारीलाई प्रधानमन्त्रीको निर्देशन,politics
94,मध्यभोटेकोसी जलविद्युत् अन्तिम चरणमा,economy
95,"नेपालको सातौं विकेट क्षति, दीपेन्द्र सिंह ऐरी आउट",sports
96,अनुमानित दरमा राजस्व बढेन : अर्थमन्त्री,economy
97,नेपालका दुई तेक्वान्दो खेलाडीले भियतनाममा जिते दुई रजत पदक,sports
98,म्यानमारसँग खेल्न नेपाली राष्ट्रिय फुटबल टोलीको घोषणा,sports
99,संयुक्त राष्ट्रसंघको महासभामा भाग लिन प्रधानमन्त्री प्रचण्ड आज साँझ न्युयोर्क प्रस्थान गर्दै,politics
100,"सेयर बजारमा एकाएक छायो हरियाली, कारोबार रकम डेढ अर्ब माथि",economy
101,प्री ओपन सेसनमा नेप्से परिसूचक एक अंकले घट्यो,economy
102,तीनै तहका सरकारले बालबालिकाका लागि लगानी वृद्धि गर्न आवश्यक : प्रधानमन्त्री प्रचण्ड,politics
103,जसपाको थरुहट राष्ट्रिय समिति गठन,politics
104,नेपाल ग्लोबल छनोटनजिक,sports
105,डलरमा आकर्षण बढ्दा सुनको मूल्य घट्यो,economy
106,"अलैँचीको मूल्यवृद्धि, किसान उत्साहित",economy
107,भारत र पाकिस्तानविरुद्ध खेलेर स्वदेश फर्किएका नेपाली टोलीको भव्य स्वागत,sports
108,ऋणमै बीआरआई परियोजनामा हस्ताक्षर गर्ने प्रधानमन्त्री प्रचण्डको तयारी,politics
109,"२९ अंकले घट्यो सेयर बजार,नेप्से परिसूचक १९६० विन्दुमा झर्‍यो",economy
110,भारतविरुद्ध नेपालको दुई सय रन पूरा,sports
111,संविधान निर्माणमा नेम्वाङले भूमिका अविस्मरणीय : महासचिव पोखरेल,politics
112,नेपालले १७८ रन बनाउँदा भारतविरुद्धको खेल वर्षाले अवरुद्ध,sports
113,प्रधानमन्त्री प्रचण्डद्वारा नागरिक उड्डयन प्राधिकरणको नवनिर्मित भवन उद्घाटन,politics
114,पोखरा अन्तर्राष्ट्रिय विमानस्थलमा ड्रुक एयरको व्यावसायिक उडान,economy
115,नेम्वाङको आज राजकीय सम्मानसहित अन्त्येष्टि गरिने,politics
116,उत्पादनको बजारीकरण नहुँदा निर्यात कमजोर,economy
117,"संविधान दिवसमा बिभुषण  प्रदान नगर्ने सरकारको निर्णय, चीनसँग ऊर्जा, पूर्वाधार र कृषिका विषयमा छलफल हुने",politics
118,"राजकीय सम्मानसाथ सुवास नेम्वाङको अन्त्येष्टि, छोराले दिए दागबत्ती",politics
119,भेरी-बबई ड्राइभर्सन : दुई वर्षभित्र पूरा गर्न मन्त्रीको निर्देशन,economy
120,बिजुलीको बक्यौता बढेको बढ्यै,economy
121,नेपालबाट चीनमा ‘हेलेज’ घाँस निर्यात सुरु,economy
122,असोज १६ देखि राष्ट्रिय भेट्रान्स फुटबल प्रतियोगिता,sports
123,दीर्घकालीन विद्युत् व्यापारका लागि नेपालमा छैन प्रसारणलाइन,economy
124,नेपालको साहसिक ब्याटिङ,sports
125,म्यानमारसँग बराबरी,sports
126,नेपालमा भारतीय सवारीसाधन सञ्चालन गर्न दिने सम्झौता खारेज गर्न माग,economy
127,नेपालले भारतविरुद्ध ब्याटिङ गर्ने,sports
128,जिल्ला स्तरीय तेक्वाण्डो प्रतियोगिता बिजु दोजाङ प्रथम,sports
129,पाथीभरा मन्दिरमा ३ करोड १९ लाख भेटी सङ्कलन,economy
130,"सुनको मूल्य घट्यो, तोलाको कति पुग्यो?",economy
131,"सेयर बजार फेरि ओरालोतिर,  १ अर्ब १३ करोडको कारोबार",economy
132,प्रस्तावित न्यायाधीशमा शर्माको नाम अनुमोदन,politics
133,"राष्ट्रिय प्रसारण लाइन विस्तार, उज्यालो बन्दै कर्णाली",economy
134,सबालेन्काको प्रतिद्वन्द्वी गौफ,sports
135,अपानिलाई लिएर नेकपा एसमा विवाद : झलनाथले भने- पार्टीमा सहमति र निर्णय नगरी जारी भयो,politics
136,"जी–२० भारतमा, एउटै विश्वको कामना",economy
137,सबालेन्का सेमीमा,sports
138,नेमारले उछिने पेलेको कीर्तिमान,sports
139,"राष्ट्रियसभा बैठक भोलि,नेम्वाङको निधनप्रति शोक प्रस्ताव पारित गर्ने",politics
140,खेलाडीका लागि घोषणा गरिएको पुरस्कार रकम शुक्रबारको मन्त्रिपरिषद् बैठकले निकासा गर्ने,sports
141,सर्वोच्च अदालतका प्रस्तावित न्यायाधीश शर्माको संसदीय सुनुवाइ आज,politics
142,"जाइका नेपालका प्रमुखमाथि ढुंगा प्रहार, जापानी दूतावासले भन्यो : हिंसात्मक क्रियाकलापमा उत्रनु अपराध हो",politics
143,"सेयर बजार फेरि ओरालोतिर, कारोबार रकम १ अर्बमुनि",economy
144,"नेपालको सय रन पूरा, कुशल मल्ल आउट",sports
145,अपर तामाकोशीको हकप्रद सेयर खुल्यो,economy
146,दुग्ध किसानको समस्या कसले बुझ्ने ?,economy
147,कार्यवाहक प्रधानमन्त्रीको जिम्मा पूर्णबहादुर खड्कालाई,politics
148,एकीकृत समाजवादीले महाधिवेशनमा लागि पुस २१ मा एकैदिन प्रतिनिधि छनोट गर्ने,politics
149,गौतम बुद्ध अन्तर्राष्ट्रिय क्रिकेट रङ्गशालाको निर्माण प्रक्रिया अघि बढाइने,politics
150,"चिकित्सक कुटपिट प्रकरण : अस्पतालमा रोकियो सेवा, बिरामीले पाएनन् उपचार",politics
151,नेपालमा लगानी बढाउन चिनियाँ निजी क्षेत्रलाई आग्रह,economy
152,सिंहदरवारमा मन्त्रिपरिषद् बैठक जारी,politics
153,मुस्ताङमा धमाधम स्याउ संकलन हुँदै,economy
154,आर्जनलाई स्वर्ण,sports
155,हालेपलाई चार वर्ष प्रतिबन्ध,sports
156,रास्वपाले डा. ढाकाकुमार श्रेष्ठले उठाएका विषय अनुसन्धान गर्ने,politics
157,"नेपालको छैटौं विकेट क्षति, गुल्शन झा आउट",sports
158,किसान सचेत भए पानामा रोग नियन्त्रण हुन्छ,economy
159,"एक किलो सुन तस्करीमा तरुण दलका नेता संलग्न, उनको दुवै गाडी प्रयोग भएको पुष्टि",politics
160,सरकारी जग्गा खाली गर्न निर्देशन,economy
161,भारतका सराभनन बने मिस्टर एसिया,sports
162,नेतामा नैतिक शक्ति हुनुपर्छ : महामन्त्री थापा,politics
163,भूमिहीनलाई जग्गाधनी लालपुर्जा,economy
164,पोखरा पर्यटनको ट्रान्जिट बन्नुपर्छः अर्थमन्त्री महत,economy
165,"प्रधानमन्त्रीको चीन भ्रमणबारे माओवादीले भन्यो- हिल्सा, अरनिको राजमार्ग, सीमा नाका, ट्रान्समिशन लाइन, कृषि क्षेत्रमा समझदारी बन्छ",politics
166,"जाइका नेपालका प्रमुखमाथि ढुंगा प्रहार, जापानको गम्भीर आपत्ति",politics
167,परराष्ट्र सचिव र चिनियाँ राजदूतबीच भेट,politics
168,"कृषिप्रति निर्भरता घट्यो, बाँझो जमिन बढ्यो",economy
169,भारतविरुद्ध खेल्ने यी हुन् नेपाली खेलाडीहरू,sports
170,गणेशमान सिंह स्मृति फुटसल असोज २ मा,sports
171,निर्माण व्यवसायीको लापरवाहीले हिलाम्य धनगढी,economy
172,"महिना बित्यो, टुंगिएन सहकारीपीडितका समस्या",economy
173,आशिफ शेख ५८ रनमा आउट,sports
174,मेसी भन्यो कि हुरुक्कै नेम्बाङ,sports
175,‘स्वदेशी र विदेशी लगानीले देशको विकास’,economy
176,एमालेले सुवास नेम्वाङको स्मृतिमा सातै प्रदेशमा कार्यक्रम गर्ने,politics
177,खेलाडी संघमा पुनः श्रेष्ठ,sports
178,एक दिवसीयमा कुशल भुर्तेलले कटाए हजार रन,sports
